Name,Position_x,Projection,Team_x,Position_y,Salary,Team_y,Kickoff
Calvin Austin III,WR,7.7,PIT,WR,5500.0,PIT,Sun 1:00PM
David Moore,WR,8.0,CAR,WR,5300.0,CAR,Sun 1:00PM
Demarcus Robinson,WR,7.9,LAR,WR,5700.0,LAR,Sun 4:25PM
Sterling Shepard,WR,7.7,TB,WR,5400.0,TB,Sun 1:00PM
Darius Slayton,WR,7.5,NYG,WR,5300.0,NYG,Sun 1:00PM
Jalen McMillan,WR,7.5,TB,WR,5000.0,TB,Sun 1:00PM
Tyler Boyd,WR,7.2,TEN,WR,5000.0,TEN,Sun 1:00PM
Keon Coleman,WR,6.7,BUF,WR,5600.0,BUF,Sun 4:25PM
Ricky Pearsall,WR,6.6,SF,WR,5000.0,SF,Sun 4:25PM
Van Jefferson,WR,5.2,PIT,WR,4700.0,PIT,Sun 1:00PM
Jalen Nailor,WR,6.3,MIN,WR,5000.0,MIN,Sun 1:00PM
Kevin Austin Jr.,WR,5.3,NO,WR,4800.0,NO,Sun 1:00PM
Malik Washington,WR,4.4,MIA,WR,4300.0,MIA,Sun 1:00PM
JuJu Smith-Schuster,WR,4.8,KC,WR,4800.0,KC,Sun 8:20PM
Mack Hollins,WR,4.3,BUF,WR,5400.0,BUF,Sun 4:25PM
Tutu Atwell,WR,4.1,LAR,WR,4900.0,LAR,Sun 4:25PM
Allen Lazard,WR,4.1,NYJ,WR,5000.0,NYJ,Sun 1:00PM
Cedrick Wilson Jr.,WR,4.0,NO,WR,4900.0,NO,Sun 1:00PM
Justin Watson,WR,3.9,KC,WR,4900.0,KC,Sun 8:20PM
Curtis Samuel,WR,3.8,BUF,WR,5500.0,BUF,Sun 4:25PM
Devin Duvernay,WR,3.8,JAC,WR,4600.0,JAC,Sun 1:00PM
Mike Williams,WR,3.4,PIT,WR,5200.0,PIT,Sun 1:00PM
Odell Beckham Jr.,WR,3.5,MIA,WR,4500.0,MIA,Sun 1:00PM
Jahan Dotson,WR,3.4,PHI,WR,4700.0,PHI,Sun 1:00PM
Greg Dortch,WR,3.2,ARI,WR,4800.0,ARI,Sun 4:05PM
Michael Woods II,WR,3.1,CLE,WR,4000.0,CLE,Sun 1:00PM
Jalen Reagor,WR,2.9,LAC,WR,4200.0,LAC,Sun 8:20PM
Jalin Hyatt,WR,2.8,NYG,WR,4600.0,NYG,Sun 1:00PM
Zay Jones,WR,2.6,ARI,WR,4200.0,ARI,Sun 4:05PM
Derius Davis,WR,2.2,LAC,WR,4300.0,LAC,Sun 8:20PM
Terrace Marshall Jr.,WR,2.2,LV,WR,4200.0,LV,Sun 1:00PM
Tyler Johnson,WR,2.0,LAR,WR,4300.0,LAR,Sun 4:25PM
Trey Palmer,WR,1.9,TB,WR,4900.0,TB,Sun 1:00PM
Ben Skowronek,WR,1.9,PIT,WR,4200.0,PIT,Sun 1:00PM
Rakim Jarrett,WR,1.6,TB,WR,4700.0,TB,Sun 1:00PM
Jake Bobo,WR,1.6,SEA,WR,4200.0,SEA,Sun 4:05PM
Xavier Gipson,WR,1.5,NYJ,WR,4600.0,NYJ,Sun 1:00PM
DJ Chark Jr.,WR,1.2,LAC,WR,4200.0,LAC,Sun 8:20PM
Brandon Powell,WR,1.1,MIN,WR,4200.0,MIN,Sun 1:00PM
Trent Sherfield Sr.,WR,1.1,MIN,WR,4200.0,MIN,Sun 1:00PM
Johnny Wilson,WR,1.0,PHI,WR,5000.0,PHI,Sun 1:00PM
Jordan Whittington,WR,1.0,LAR,WR,4400.0,LAR,Sun 4:25PM
Kadarius Toney,WR,0.9,CLE,WR,4200.0,CLE,Sun 1:00PM
Deven Thompkins,WR,0.9,CAR,WR,4200.0,CAR,Sun 1:00PM
KhaDarel Hodge,WR,0.9,ATL,WR,4400.0,ATL,Sun 1:00PM
Ramel Keyton,WR,0.9,LV,WR,4100.0,LV,Sun 1:00PM
DeAndre Carter,WR,0.9,CHI,WR,4100.0,CHI,Sun 4:25PM
Tim Jones,WR,0.7,JAC,WR,4700.0,JAC,Sun 1:00PM
Ryan Miller,WR,0.6,TB,TE,4200.0,TB,Sun 1:00PM
Kristian Wilkerson,WR,0.5,LV,WR,4000.0,LV,Sun 1:00PM
Jalen Coker,WR,0.8,CAR,WR,5100.0,CAR,Sun 1:00PM
Nikko Remigio,WR,0.5,KC,WR,4000.0,KC,Sun 8:20PM
Cody White,WR,0.4,SEA,WR,4100.0,SEA,Sun 4:05PM
Chris Conley,WR,0.5,SF,WR,4400.0,SF,Sun 4:25PM
Ainias Smith,WR,0.4,PHI,WR,4500.0,PHI,Sun 1:00PM
Bryce Oliver,WR,0.3,TEN,WR,4300.0,TEN,Sun 1:00PM
Scotty Miller,WR,0.0,PIT,WR,4000.0,PIT,Sun 1:00PM
Collin Johnson,WR,0.2,CHI,WR,4000.0,CHI,Sun 4:25PM
Zach Pascal,WR,0.2,ARI,WR,4100.0,ARI,Sun 4:05PM
Dan Chisena,WR,0.1,CAR,WR,4200.0,CAR,Sun 1:00PM
Joshua Cephus,WR,0.1,JAC,WR,4000.0,JAC,Sun 1:00PM
Jacob Cowing,WR,0.0,SF,WR,4000.0,SF,Sun 4:25PM
James Proche II,WR,0.0,CLE,WR,4000.0,CLE,Sun 1:00PM
Laviska Shenault Jr.,WR,0.0,LAC,WR,4100.0,LAC,Sun 8:20PM
Elijah Cooks,WR,0.0,JAC,WR,4200.0,JAC,Sun 1:00PM
Ihmir Smith-Marsette,WR,0.0,NYG,WR,4200.0,NYG,Sun 1:00PM
Jaelon Darden,WR,0.0,SEA,WR,4100.0,SEA,Sun 4:05PM
Mason Kinsey,WR,0.0,TEN,WR,4000.0,TEN,Sun 1:00PM
Xavier Smith,WR,0.0,LAR,WR,4100.0,LAR,Sun 4:25PM
Brock Bowers,TE,16.7,LV,TE,8000.0,LV,Sun 1:00PM
Trey McBride,TE,14.6,ARI,TE,7200.0,ARI,Sun 4:05PM
Travis Kelce,TE,14.4,KC,TE,6800.0,KC,Sun 8:20PM
George Kittle,TE,13.6,SF,TE,7500.0,SF,Sun 4:25PM
Jonnu Smith,TE,12.4,MIA,TE,7000.0,MIA,Sun 1:00PM
David Njoku,TE,12.4,CLE,TE,6200.0,CLE,Sun 1:00PM
T.J. Hockenson,TE,11.6,MIN,TE,6300.0,MIN,Sun 1:00PM
Cade Otton,TE,11.4,TB,TE,5600.0,TB,Sun 1:00PM
Evan Engram,TE,10.5,JAC,TE,5900.0,JAC,Sun 1:00PM
