Name,Position,Salary,Team,Kickoff
Tejhaun Palmer,WR,4000.00,ARI,Sun 4:05PM
Keon Coleman,WR,5600.00,BUF,Sun 4:25PM
Grant DuBose,WR,4000.00,MIA,Sun 1:00PM
Daylen Baldwin,WR,4000.00,ARI,Sun 4:05PM
Xavier Worthy,WR,6000.00,KC,Sun 8:20PM
Jadon Janke,WR,4000.00,MIA,Sun 1:00PM
DeAndre Hopkins,WR,6100.00,KC,Sun 8:20PM
Joseph Scates,WR,4000.00,JAC,Sun 1:00PM
Hamze El-Zayat,WR,4000.00,NYJ,Sun 1:00PM
Reggie Brown,WR,4000.00,KC,Sun 8:20PM
Latreal Jones,WR,4000.00,TB,Sun 1:00PM
Christian Watson,WR,6100.00,GB,Thu 8:15PM
Dareke Young,WR,4000.00,SEA,Sun 4:05PM
Lance McCutcheon,WR,4000.00,PIT,Sun 1:00PM
Dee Williams,WR,4000.00,SEA,Sun 4:05PM
Tyreik McAllister,WR,4000.00,LV,Sun 1:00PM
Dennis Houston,WR,4000.00,TB,Sun 1:00PM
Rashid Shaheed,WR,4000.00,NO,Sun 1:00PM
Ayir Asante,WR,4000.00,NYG,Sun 1:00PM
Leon Johnson III,WR,4000.00,LAC,Sun 8:20PM
Andrei Iosivas,WR,5400.00,CIN,Mon 8:15PM
Colton Dowell,WR,4000.00,TEN,Sun 1:00PM
Keilahn Harris,WR,4000.00,PIT,Sun 1:00PM
T.J. Luther,WR,4000.00,CAR,Sun 1:00PM
David Durden,WR,4000.00,DAL,Mon 8:15PM
Rory Starkey Jr.,WR,4000.00,GB,Thu 8:15PM
Ryan Flournoy,WR,4100.00,DAL,Mon 8:15PM
Devron Harper,WR,4000.00,MIN,Sun 1:00PM
Mason Tipton,WR,4500.00,NO,Sun 1:00PM
Jermaine Jackson,WR,4200.00,NO,Sun 1:00PM
Kyle Sheets,WR,4000.00,KC,Sun 8:20PM
Wayne Ruby,WR,4000.00,JAC,Sun 1:00PM
David White Jr.,WR,4000.00,JAC,Sun 1:00PM
Brevin Easton,WR,4000.00,JAC,Sun 1:00PM
JJ Laap,WR,4000.00,LAR,Sun 4:25PM
Hayden Hatten,WR,4000.00,SEA,Sun 4:05PM
Jaaron Hayek,WR,4000.00,KC,Sun 8:20PM
Kameron Johnson,WR,4300.00,TB,Sun 1:00PM
Jalen Coker,WR,5100.00,CAR,Sun 1:00PM
Cole Burgess,WR,4000.00,CIN,Mon 8:15PM
Sam Schnee,WR,4000.00,TEN,Sun 1:00PM
Praise Olatoke,WR,4000.00,CAR,Sun 1:00PM
Mack Hollins,WR,5400.00,BUF,Sun 4:25PM
Phillip Dorsett II,WR,4000.00,ATL,Sun 1:00PM
Robbie Chosen,WR,4000.00,MIA,Sun 1:00PM
Tyler Lockett,WR,5600.00,SEA,Sun 4:05PM
Sterling Shepard,WR,5400.00,TB,Sun 1:00PM
Justin Hardee Sr.,WR,4000.00,TEN,Sun 1:00PM
Allen Robinson II,WR,4400.00,DET,Thu 8:15PM
Keenan Allen,WR,6400.00,CHI,Sun 4:25PM
Brandin Cooks,WR,5600.00,DAL,Mon 8:15PM
Chris Conley,WR,4400.00,SF,Sun 4:25PM
Damiere Byrd,WR,4000.00,BUF,Sun 4:25PM
Jordan Matthews,WR,4000.00,CAR,Sun 1:00PM
Amari Cooper,WR,5700.00,BUF,Sun 4:25PM
Odell Beckham Jr.,WR,4500.00,MIA,Sun 1:00PM
Mike Evans,WR,8400.00,TB,Sun 1:00PM
Jakeem Grant Sr.,WR,4000.00,ATL,Sun 1:00PM
Chris Moore,WR,4000.00,ARI,Sun 4:05PM
Demarcus Robinson,WR,5700.00,LAR,Sun 4:25PM
Adam Thielen,WR,5900.00,CAR,Sun 1:00PM
Mike Williams,WR,5200.00,PIT,Sun 1:00PM
Marquez Valdes-Scantling,WR,5800.00,NO,Sun 1:00PM
Tyler Boyd,WR,5000.00,TEN,Sun 1:00PM
Zay Jones,WR,4200.00,ARI,Sun 4:05PM
John Ross,WR,4000.00,PHI,Sun 1:00PM
River Cracraft,WR,4100.00,MIA,Sun 1:00PM
Trent Taylor,WR,4000.00,SF,Sun 4:25PM
Willie Snead IV,WR,4000.00,MIA,Sun 1:00PM
Davante Adams,WR,7300.00,NYJ,Sun 1:00PM
Brandon Powell,WR,4200.00,MIN,Sun 1:00PM
Braxton Berrios,WR,4000.00,MIA,Sun 1:00PM
Curtis Samuel,WR,5500.00,BUF,Sun 4:25PM
Russell Gage,WR,4000.00,SF,Sun 4:25PM
DJ Chark Jr.,WR,4200.00,LAC,Sun 8:20PM
Zach Pascal,WR,4100.00,ARI,Sun 4:05PM
Isaiah McKenzie,WR,4000.00,NYG,Sun 1:00PM
Tyreek Hill,WR,8200.00,MIA,Sun 1:00PM
Cam Sims,WR,4000.00,CAR,Sun 1:00PM
C.J. Goodwin,WR,4000.00,DAL,Mon 8:15PM
Malik Turner,WR,4000.00,SF,Sun 4:25PM
Cody Thompson,WR,4000.00,TB,Sun 1:00PM
Chris Godwin,WR,4000.00,TB,Sun 1:00PM
James Washington,WR,4000.00,ATL,Sun 1:00PM
JuJu Smith-Schuster,WR,4800.00,KC,Sun 8:20PM
Deebo Samuel Sr.,WR,7100.00,SF,Sun 4:25PM
Trent Sherfield Sr.,WR,4200.00,MIN,Sun 1:00PM
Parris Campbell,WR,4000.00,PHI,Sun 1:00PM
Dante Pettis,WR,4400.00,NO,Sun 1:00PM
Allen Lazard,WR,5000.00,NYJ,Sun 1:00PM
Tim Patrick,WR,5000.00,DET,Thu 8:15PM
Tre'Quan Smith,WR,4000.00,DET,Thu 8:15PM
Tyron Billy-Johnson,WR,4000.00,DAL,Mon 8:15PM
Andre Baccellia,WR,4000.00,ARI,Sun 4:05PM
Blake Lynch,WR,4000.00,LV,Sun 1:00PM
Christian Kirk,WR,4000.00,JAC,Sun 1:00PM
KaVontae Turpin,WR,4900.00,DAL,Mon 8:15PM
Stanley Morgan Jr.,WR,4000.00,TEN,Sun 1:00PM
Scotty Miller,WR,4000.00,PIT,Sun 1:00PM
Jauan Jennings,WR,6400.00,SF,Sun 4:25PM
Deon Cain,WR,4000.00,BUF,Sun 4:25PM
Ray-Ray McCloud III,WR,5500.00,ATL,Sun 1:00PM
DeAndre Carter,WR,4100.00,CHI,Sun 4:25PM
DJ Moore,WR,6600.00,CHI,Sun 4:25PM
James Proche II,WR,4000.00,CLE,Sun 1:00PM
Andy Isabella,WR,4000.00,PIT,Sun 1:00PM
Jakobi Meyers,WR,6700.00,LV,Sun 1:00PM
Darius Slayton,WR,5300.00,NYG,Sun 1:00PM
Lucky Jackson,WR,4000.00,MIN,Sun 1:00PM
Britain Covey,WR,4400.00,PHI,Sun 1:00PM
Hakeem Butler,WR,4000.00,CIN,Mon 8:15PM
Jeff Smith,WR,4000.00,ARI,Sun 4:05PM
Nick Westbrook-Ikhine,WR,6200.00,TEN,Sun 1:00PM
Irvin Charles,WR,4000.00,NYJ,Sun 1:00PM
Dan Chisena,WR,4200.00,CAR,Sun 1:00PM
Calvin Ridley,WR,6300.00,TEN,Sun 1:00PM
Van Jefferson,WR,4700.00,PIT,Sun 1:00PM
Alex Bachman,WR,4000.00,LV,Sun 1:00PM
Miles Boykin,WR,4000.00,SEA,Sun 4:05PM
Equanimeous St. Brown,WR,4000.00,NO,Sun 1:00PM
Jalen Guyton,WR,4000.00,LV,Sun 1:00PM
Trenton Irwin,WR,4000.00,CIN,Mon 8:15PM
Maurice Alexander,WR,4000.00,DET,Thu 8:15PM
Deontay Burnett,WR,4000.00,DAL,Mon 8:15PM
Austin Mack,WR,4000.00,ATL,Sun 1:00PM
Tyler Johnson,WR,4300.00,LAR,Sun 4:25PM
N'Keal Harry,WR,4000.00,SEA,Sun 4:05PM
Freddie Swain,WR,4000.00,CHI,Sun 4:25PM
Greg Dortch,WR,4800.00,ARI,Sun 4:05PM
Cedrick Wilson Jr.,WR,4900.00,NO,Sun 1:00PM
Jalen Virgil,WR,4100.00,BUF,Sun 4:25PM
Darnell Mooney,WR,5900.00,ATL,Sun 1:00PM
Collin Johnson,WR,4000.00,CHI,Sun 4:25PM
Cornell Powell,WR,4000.00,SEA,Sun 4:05PM
Kalif Raymond,WR,4000.00,DET,Thu 8:15PM
Velus Jones Jr.,WR,4000.00,JAC,Sun 1:00PM
Frank Darby,WR,4000.00,SF,Sun 4:25PM
Jalen Camp,WR,4000.00,CLE,Sun 1:00PM
Devin Duvernay,WR,4600.00,JAC,Sun 1:00PM
Kelvin Harmon,WR,4000.00,DAL,Mon 8:15PM
Ben Skowronek,WR,4200.00,PIT,Sun 1:00PM
Brandon Johnson,WR,4000.00,PIT,Sun 1:00PM
Marquez Callaway,WR,4000.00,TB,Sun 1:00PM
Mecole Hardman Jr.,WR,4500.00,KC,Sun 8:20PM
DJ Turner,WR,4800.00,LV,Sun 1:00PM
Dez Fitzpatrick,WR,4000.00,LAC,Sun 8:20PM
Kendric Pryor,WR,4000.00,CIN,Mon 8:15PM
Quintez Cephus,WR,4000.00,LAR,Sun 4:25PM
Dee Eskridge,WR,4000.00,MIA,Sun 1:00PM
Kwamie Lassiter II,WR,4000.00,CIN,Mon 8:15PM
Denzel Mims,WR,4000.00,JAC,Sun 1:00PM
Trishton Jackson,WR,4000.00,MIN,Sun 1:00PM
A.J. Brown,WR,9300.00,PHI,Sun 1:00PM
DK Metcalf,WR,7600.00,SEA,Sun 4:05PM
Samson Nacua,WR,4000.00,NO,Sun 1:00PM
Chase Claypool,WR,4000.00,BUF,Sun 4:25PM
Quez Watkins,WR,4000.00,PIT,Sun 1:00PM
Cooper Kupp,WR,8500.00,LAR,Sun 4:25PM
Jamal Agnew,WR,4000.00,PIT,Sun 1:00PM
David Moore,WR,5300.00,CAR,Sun 1:00PM
Justin Watson,WR,4900.00,KC,Sun 8:20PM
Daurice Fountain,WR,4000.00,DET,Thu 8:15PM
KhaDarel Hodge,WR,4400.00,ATL,Sun 1:00PM
Justin Jefferson,WR,9200.00,MIN,Sun 1:00PM
Terrace Marshall Jr.,WR,4200.00,LV,Sun 1:00PM
Jontre Kirklin,WR,4000.00,SF,Sun 4:25PM
Ja'Marr Chase,WR,9500.00,CIN,Mon 8:15PM
Jaray Jenkins,WR,4000.00,PIT,Sun 1:00PM
Racey McMath,WR,4000.00,DAL,Mon 8:15PM
Brandon Aiyuk,WR,4000.00,SF,Sun 4:25PM
Kyric McGowan,WR,4000.00,MIA,Sun 1:00PM
Kadarius Toney,WR,4200.00,CLE,Sun 1:00PM
Jacob Copeland,WR,4000.00,PIT,Sun 1:00PM
