Name,Position,Salary,Team
Malik Cunningham,WR,3000.00,BAL
Tylan Wallace,WR,3300.00,BAL
Calvin Austin III,WR,3600.00,PIT
D.J. Montgomery,WR,3000.00,IND
Tay Martin,WR,3000.00,TEN
Christian Watson,WR,5200.00,GB
Braylon Sanders,WR,3000.00,NE
Bo Melton,WR,3000.00,GB
Justin Jefferson,WR,8600.00,MIN
Jeshaun Jones,WR,3000.00,MIN
Tutu Atwell,WR,4200.00,LAR
Michael Woods II,WR,3000.00,CLE
Alec Pierce,WR,5400.00,IND
Brandon Aiyuk,WR,3000.00,SF
Rashod Bateman,WR,4600.00,BAL
Dylan Drummond,WR,3000.00,ATL
Terrace Marshall Jr.,WR,3000.00,LV
A.T. Perry,WR,3000.00,DEN
Tyquan Thornton,WR,3000.00,NE
Justyn Ross,WR,3000.00,KC
Bryce Oliver,WR,3000.00,TEN
Chris Blair,WR,3000.00,ATL
Erik Ezukanma,WR,3000.00,MIA
Jake Bobo,WR,3300.00,SEA
Marcus Riley,WR,3000.00,NYJ
Justin Shorter,WR,3000.00,LV
Chris Olave,WR,6100.00,NO
Romeo Doubs,WR,5500.00,GB
Jayden Reed,WR,6400.00,GB
Cedric Tillman,WR,5300.00,CLE
Drake Stoops,WR,3000.00,LAR
Jaylen Waddle,WR,5900.00,MIA
Jalen Nailor,WR,4000.00,MIN
Nikko Remigio,WR,3000.00,KC
Amon-Ra St. Brown,WR,8000.00,DET
Antoine Green,WR,3000.00,DET
Elijah Moore,WR,4300.00,CLE
Anthony Schwartz,WR,3000.00,MIA
Malik Knowles,WR,3000.00,GB
Ronnie Bell,WR,3000.00,SF
Rondale Moore,WR,3000.00,ATL
Kevin Austin Jr.,WR,3000.00,NO
Khalil Shakir,WR,6300.00,BUF
Jesse Matthews,WR,3000.00,ATL
Xavier Smith,WR,3000.00,LAR
Ricky Pearsall,WR,4900.00,SF
Anthony Gould,WR,3000.00,IND
Ramel Keyton,WR,3000.00,LV
John Jackson III,WR,3000.00,CHI
Puka Nacua,WR,7300.00,LAR
Jordan Whittington,WR,4500.00,LAR
Devaughn Vele,WR,3900.00,DEN
Garrett Wilson,WR,7100.00,NYJ
Tre Tucker,WR,4100.00,LV
Ashton Dulin,WR,3000.00,IND
Deonte Harty,WR,3000.00,BAL
Malik Taylor,WR,3000.00,NYJ
Jeff Foreman,WR,3000.00,LV
Jha'Quan Jackson,WR,3000.00,TEN
Treylon Burks,WR,3000.00,TEN
George Pickens,WR,7000.00,PIT
Bub Means,WR,3000.00,NO
Dontayvion Wicks,WR,5000.00,GB
Dayton Wade,WR,3000.00,BAL
Tahj Washington,WR,3000.00,MIA
Malik Washington,WR,3100.00,MIA
Terique Owens,WR,3000.00,SF
Rashee Rice,WR,3000.00,KC
Jameson Williams,WR,5800.00,DET
DeMario Douglas,WR,4700.00,NE
Casey Washington,WR,3000.00,ATL
Skyy Moore,WR,3000.00,KC
Zay Flowers,WR,6900.00,BAL
Xavier Gipson,WR,3000.00,NYJ
Joshua Cephus,WR,3000.00,JAC
Jamari Thrash,WR,3000.00,CLE
Drake London,WR,6700.00,ATL
Jaaron Hayek,WR,3000.00,KC
David Bell,WR,3000.00,CLE
Cornelius Johnson,WR,3000.00,GB
Jacob Cowing,WR,3000.00,SF
Mason Tipton,WR,4600.00,NO
Tyreik McAllister,WR,3000.00,LV
Kayshon Boutte,WR,3500.00,NE
Rome Odunze,WR,5000.00,CHI
Marvin Mims Jr.,WR,3100.00,DEN
Ja'Lynn Polk,WR,3400.00,NE
Jaxon Smith-Njigba,WR,6500.00,SEA
Tyler Scott,WR,3000.00,CHI
Jordan Addison,WR,5100.00,MIN
Josh Downs,WR,6400.00,IND
Malachi Corley,WR,3000.00,NYJ
Mason Kinsey,WR,3000.00,TEN
Parker Washington,WR,4000.00,JAC
Roman Wilson,WR,3000.00,PIT
Jason Brownlee,WR,3000.00,NYJ
Javon Baker,WR,3000.00,NE
Malik Heath,WR,3000.00,GB
Jermaine Jackson,WR,3000.00,NO
Devontez Walker,WR,3000.00,BAL
Adonai Mitchell,WR,4400.00,IND
Brian Thomas Jr.,WR,6100.00,JAC
Troy Franklin,WR,3700.00,DEN
Keon Coleman,WR,5500.00,BUF
Grant DuBose,WR,3000.00,MIA
Xavier Worthy,WR,5600.00,KC
Dareke Young,WR,3000.00,SEA
David White Jr.,WR,3000.00,JAC
JaQuae Jackson,WR,3000.00,NE
John Jiles,WR,3000.00,NE
Louis Rees-Zammit,WR,3000.00,JAC
Keenan Allen,WR,5200.00,CHI
DeAndre Hopkins,WR,5700.00,KC
Odell Beckham Jr.,WR,3400.00,MIA
Chris Conley,WR,3000.00,SF
Phillip Dorsett II,WR,3000.00,ATL
Tyler Lockett,WR,5800.00,SEA
Jakeem Grant Sr.,WR,3000.00,ATL
Allen Robinson II,WR,3100.00,DET
Davante Adams,WR,7200.00,NYJ
DeAndre Carter,WR,3000.00,CHI
Amari Cooper,WR,5700.00,BUF
Nelson Agholor,WR,3500.00,BAL
Kalif Raymond,WR,3500.00,DET
Cooper Kupp,WR,7500.00,LAR
Mack Hollins,WR,3800.00,BUF
Demarcus Robinson,WR,5100.00,LAR
Mike Williams,WR,4100.00,PIT
Trent Taylor,WR,3000.00,SF
Marquez Valdes-Scantling,WR,4400.00,NO
Tyler Boyd,WR,3400.00,TEN
Keith Kirkwood,WR,3000.00,BAL
Laquon Treadwell,WR,3000.00,IND
Anthony Miller,WR,3000.00,BAL
River Cracraft,WR,3000.00,MIA
Kendrick Bourne,WR,3100.00,NE
KhaDarel Hodge,WR,3000.00,ATL
Brandon Powell,WR,3000.00,MIN
Braxton Berrios,WR,3000.00,MIA
Curtis Samuel,WR,3300.00,BUF
Russell Gage,WR,3000.00,SF
Josh Reynolds,WR,3000.00,DEN
Tyreek Hill,WR,7400.00,MIA
Nsimba Webster,WR,3000.00,CHI
Justin Watson,WR,3700.00,KC
Deebo Samuel Sr.,WR,6800.00,SF
Trent Sherfield Sr.,WR,3000.00,MIN
JuJu Smith-Schuster,WR,4500.00,KC
Juwann Winfree,WR,3000.00,IND
Tom Kennedy,WR,3000.00,DET
Dante Pettis,WR,3000.00,NO
Allen Lazard,WR,4800.00,NYJ
Tim Patrick,WR,3400.00,DET
Courtland Sutton,WR,5900.00,DEN
Christian Kirk,WR,3000.00,JAC
Scotty Miller,WR,3000.00,PIT
David Sills V,WR,3000.00,DEN
Jauan Jennings,WR,5300.00,SF
Deon Cain,WR,3000.00,BUF
Ray-Ray McCloud III,WR,4200.00,ATL
Kristian Wilkerson,WR,3000.00,LV
DJ Moore,WR,6000.00,CHI
James Proche II,WR,3000.00,CLE
Jakobi Meyers,WR,5600.00,LV
K.J. Osborn,WR,3000.00,NE
Lucky Jackson,WR,3000.00,MIN
Nick Westbrook-Ikhine,WR,3600.00,TEN
Irvin Charles,WR,3000.00,NYJ
Calvin Ridley,WR,6200.00,TEN
Van Jefferson,WR,3500.00,PIT
Alex Bachman,WR,3000.00,LV
Miles Boykin,WR,3000.00,SEA
Jalen Guyton,WR,3000.00,LV
Equanimeous St. Brown,WR,3000.00,NO
Diontae Johnson,WR,4800.00,BAL
Freddie Swain,WR,3000.00,CHI
Tyler Johnson,WR,3500.00,LAR
Michael Pittman Jr.,WR,6000.00,IND
Collin Johnson,WR,3000.00,CHI
Darnell Mooney,WR,6600.00,ATL
Cedrick Wilson Jr.,WR,4300.00,NO
Jalen Virgil,WR,3000.00,BUF
Cornell Powell,WR,3000.00,KC
Velus Jones Jr.,WR,3000.00,JAC
Michael Bandy,WR,3000.00,DEN
Samori Toure,WR,3000.00,CHI
Devin Duvernay,WR,3000.00,JAC
Lil'Jordan Humphrey,WR,3200.00,DEN
Ben Skowronek,WR,3000.00,PIT
Brandon Johnson,WR,3000.00,PIT
Mecole Hardman Jr.,WR,3300.00,KC
Rashid Shaheed,WR,3000.00,NO
DJ Turner,WR,3900.00,LV
Quintez Cephus,WR,3000.00,LAR
Dee Eskridge,WR,3000.00,MIA
Trishton Jackson,WR,3000.00,MIN
DK Metcalf,WR,6500.00,SEA
Quez Watkins,WR,3000.00,PIT
Jerry Jeudy,WR,5400.00,CLE
Tyrell Shavers,WR,3000.00,BUF
Kadarius Toney,WR,3000.00,CLE
Marquise Brown,WR,3000.00,KC
KJ Hamler,WR,3000.00,BUF
Gabe Davis,WR,4700.00,JAC
Elijah Cooks,WR,3000.00,JAC
Nick Muse,TE,2500.00,MIN
John Samuel Shenker,TE,2500.00,LV
Noah Gray,TE,2800.00,KC
Connor Heyward,TE,2500.00,PIT
Charlie Kolar,TE,2500.00,BAL
Quintin Morris,TE,2500.00,BUF
Colby Parkinson,TE,3600.00,LAR
Hunter Long,TE,2500.00,LAR
Brady Russell,TE,2500.00,SEA
Peyton Hendershot,TE,2500.00,KC
Cole Kmet,TE,4100.00,CHI
Jake Tonges,TE,2500.00,SF
Chig Okonkwo,TE,3000.00,TEN
Josh Whyle,TE,2500.00,TEN
Thomas Yassmin,TE,2500.00,DEN
Zack Kuntz,TE,2500.00,NYJ
Thomas Odukoya,TE,2500.00,TEN
Blake Whiteheart,TE,2500.00,CLE
Shawn Bowman,TE,2500.00,JAC
Brenden Bates,TE,2500.00,NYJ
Pat Freiermuth,TE,4200.00,PIT
Jack Westover,TE,2500.00,NE
Will Mallory,TE,2500.00,IND
Lucas Krull,TE,2700.00,DEN
Jeremy Ruckert,TE,2600.00,NYJ
Kyle Pitts,TE,4800.00,ATL
Joel Wilson,TE,2500.00,CHI
Julian Hill,TE,2500.00,MIA
James Mitchell,TE,2500.00,DET
David Martin-Robinson,TE,2500.00,TEN
Messiah Swinson,TE,2500.00,GB
Isaiah Likely,TE,4000.00,BAL
Brayden Willis,TE,2500.00,SF
Cameron Latu,TE,2500.00,CLE
Greg Dulcich,TE,2500.00,DEN
Ben Sims,TE,2500.00,GB
John FitzPatrick,TE,2500.00,GB
Dallin Holker,TE,2500.00,NO
Nate Adkins,TE,2500.00,DEN
Dalton Kincaid,TE,5000.00,BUF
Davis Allen,TE,2500.00,LAR
Jared Wiley,TE,2500.00,KC
Brenton Strange,TE,2700.00,JAC
Nikola Kalinic,TE,2500.00,LAR
Jody Fortson Jr.,TE,2500.00,KC
Sam LaPorta,TE,4300.00,DET
Treyton Welch,TE,2500.00,NO
Luke Musgrave,TE,2500.00,GB
Tucker Kraft,TE,4400.00,GB
Darnell Washington,TE,2700.00,PIT
AJ Barner,TE,3100.00,SEA
Jaheim Bell,TE,2500.00,NE
Michael Mayer,TE,2500.00,LV
Drew Ogletree,TE,2500.00,IND
Zach Davidson,TE,2500.00,BUF
Shane Zylstra,TE,2500.00,DET
Brock Bowers,TE,5800.00,LV
Zaire Mitchell-Paden,TE,2500.00,BAL
Patrick Murtagh,TE,2500.00,JAC
Mason Pline,TE,2500.00,SF
Marcedes Lewis,TE,2500.00,CHI
Andrew DePaola,TE,2500.00,MIN
Patrick Scales,TE,2500.00,CHI
Travis Kelce,TE,6300.00,KC
James Winchester,TE,2500.00,KC
Taysom Hill,TE,4500.00,NO
MyCole Pruitt,TE,2500.00,PIT
Tyler Higbee,TE,3300.00,LAR
Nick Vannett,TE,2500.00,TEN
Zach Wood,TE,2500.00,NO
Robert Tonyan,TE,2500.00,MIN
Pharaoh Brown,TE,2500.00,SEA
Eric Saubert,TE,2500.00,SF
Mo Alie-Cox,TE,2500.00,IND
Geoff Swaim,TE,2500.00,CLE
George Kittle,TE,6000.00,SF
Austin Hooper,TE,2900.00,NE
Johnny Mundt,TE,2600.00,MIN
Jonnu Smith,TE,3800.00,MIA
Hunter Henry,TE,3900.00,NE
Evan Engram,TE,5200.00,JAC
Durham Smythe,TE,2500.00,MIA
Ross Dwelley,TE,2500.00,ATL
Anthony Firkser,TE,2500.00,KC
Mark Andrews,TE,4600.00,BAL
Matt Sokol,TE,2500.00,PIT
David Njoku,TE,5500.00,CLE
Jordan Akins,TE,2900.00,CLE
Gerald Everett,TE,2500.00,CHI
Mitchell Fraboni,TE,2500.00,DEN
Sammis Reyes,TE,2500.00,MIN
Tyler Conklin,TE,3200.00,NYJ
Foster Moreau,TE,3000.00,NO
Josiah Deguara,TE,2500.00,JAC
Tyler Davis,TE,2500.00,GB
Adam Trautman,TE,2800.00,DEN
Donald Parham Jr.,TE,2500.00,DEN
Tyler Mabry,TE,2500.00,SEA
Stephen Carlson,TE,2500.00,CHI
Josh Oliver,TE,3100.00,MIN
Michael Jacobson,TE,2500.00,NO
Dawson Knox,TE,3500.00,BUF
Juwan Johnson,TE,3400.00,NO
Mitchell Wilcox,TE,2500.00,NE
N'Keal Harry,TE,2500.00,SEA
Sean McKeon,TE,2500.00,IND
Jack Stoll,TE,2500.00,MIA
Cole Fotheringham,TE,2500.00,LV
Miller Forristall,TE,2500.00,LAR
Harrison Bryant,TE,2500.00,LV
Trevon Wesco,TE,2500.00,LV
Kylen Granson,TE,2600.00,IND
Charlie Woerner,TE,2500.00,ATL
Noah Fant,TE,3700.00,SEA
T.J. Hockenson,TE,4700.00,MIN
Kenny Yeboah,TE,2500.00,NYJ
Armani Rogers,TE,2500.00,ATL
Tanner Conner,TE,2500.00,MIA
Luke Farrell,TE,2500.00,JAC
Jelani Woods,TE,2500.00,IND
Brock Wright,TE,3300.00,DET
Atlanta Falcons,DF,2700.00,ATL
Buffalo Bills,DF,2700.00,BUF
Chicago Bears,DF,2400.00,CHI
Cleveland Browns,DF,2600.00,CLE
Denver Broncos,DF,2900.00,DEN
Detroit Lions,DF,3800.00,DET
Green Bay Packers,DF,3500.00,GB
Tennessee Titans,DF,2300.00,TEN
Indianapolis Colts,DF,2600.00,IND
Kansas City Chiefs,DF,3100.00,KC
Las Vegas Raiders,DF,2400.00,LV
Los Angeles Rams,DF,3200.00,LAR
Miami Dolphins,DF,3000.00,MIA
Minnesota Vikings,DF,3700.00,MIN
New England Patriots,DF,2500.00,NE
New Orleans Saints,DF,3300.00,NO
New York Jets,DF,2800.00,NYJ
Pittsburgh Steelers,DF,2500.00,PIT
San Francisco 49ers,DF,3600.00,SF
Seattle Seahawks,DF,2300.00,SEA
Jacksonville Jaguars,DF,2200.00,JAC
Baltimore Ravens,DF,3400.00,BAL
