Name,Position,Salary,Team
Kenneth Walker III,RB,8100.00,SEA
Zach Charbonnet,RB,5300.00,SEA
Kairee Robinson,RB,4000.00,SEA
Sincere McCormick,RB,4000.00,LV
Craig Reynolds,RB,4600.00,DET
Tyler Goodson,RB,4800.00,IND
Tyjae Spears,RB,5400.00,TEN
Kenny McIntosh,RB,4100.00,SEA
Evan Hull,RB,4000.00,IND
Rhamondre Stevenson,RB,6400.00,NE
Michael Wiley,RB,4000.00,WAS
George Holani,RB,4000.00,SEA
Terrell Jennings,RB,4000.00,NE
MarShawn Lloyd,RB,4000.00,GB
Ellis Merriweather,RB,4000.00,GB
Jahmyr Gibbs,RB,8600.00,DET
Emani Bailey,RB,4000.00,KC
DeWayne McBride,RB,4000.00,MIN
Sean Tucker,RB,4800.00,TB
Deuce Vaughn,RB,4000.00,DAL
Rachaad White,RB,6900.00,TB
Dillon Johnson,RB,4000.00,CAR
De'Von Achane,RB,9100.00,MIA
Jabari Small,RB,4000.00,TEN
Trey Benson,RB,5200.00,ARI
Jaleel McLaughlin,RB,4900.00,DEN
Nick Bellore,RB,4000.00,WAS
Nate McCrary,RB,4000.00,GB
Jaylen Wright,RB,4700.00,MIA
Bucky Irving,RB,6800.00,TB
Carson Steele,RB,4400.00,KC
Audric Estime,RB,5600.00,DEN
Jonathon Brooks,RB,5500.00,CAR
Sione Vaki,RB,4000.00,DET
Julius Chestnut,RB,4200.00,TEN
Ramon Jefferson,RB,4000.00,TB
Dante Miller,RB,4000.00,NYG
Emanuel Wilson,RB,5300.00,GB
Hunter Luepke,RB,4500.00,DAL
Dylan Laube,RB,4000.00,LV
Chris Collier,RB,4000.00,LV
Ian Wheeler,RB,4000.00,CHI
Jaden Shirden,RB,4000.00,CAR
Michael Burton,RB,4300.00,DEN
Ameer Abdullah,RB,5000.00,LV
Raheem Mostert,RB,6000.00,MIA
Dare Ogunbowale,RB,5100.00,HOU
Ezekiel Elliott,RB,5800.00,DAL
Kyle Juszczyk,RB,4300.00,SF
Aaron Jones,RB,7300.00,MIN
James Conner,RB,7700.00,ARI
Kareem Hunt,RB,7500.00,KC
Jakob Johnson,RB,4000.00,NYG
Joe Mixon,RB,9300.00,HOU
Samaje Perine,RB,4700.00,KC
Matt Breida,RB,4000.00,SF
Nick Bawden,RB,4000.00,HOU
Dalvin Cook,RB,4600.00,DAL
Christian McCaffrey,RB,9500.00,SF
Jeff Wilson Jr.,RB,4200.00,MIA
Khari Blasingame,RB,4000.00,CHI
Jeremy McNichols,RB,4800.00,WAS
Mike Boone,RB,4000.00,CAR
Myles Gaskin,RB,4000.00,MIN
Ke'Shawn Vaughn,RB,4000.00,SF
Alec Ingold,RB,4100.00,MIA
Tony Pollard,RB,6500.00,TEN
JaMycal Hasty,RB,4400.00,NE
Darrynton Evans,RB,4000.00,CHI
C.J. Ham,RB,4100.00,MIN
Devin Singletary,RB,5200.00,NYG
Travis Homer,RB,4000.00,CHI
Brittain Brown,RB,4000.00,SEA
Miles Sanders,RB,4900.00,CAR
